, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,209000,10,20900,234364.0,9.0,26040.0,443364.0,19.0,23335.0,,,
1,Collingwood,247500,9,27500,245110.0,10.0,24511.0,492610.0,19.0,25927.0,135015.0,2.0,67508.0
2,Essendon,194000,10,19400,199164.0,9.0,22129.0,393164.0,19.0,20693.0,210818.0,3.0,70273.0
3,Fitzroy,154000,9,17111,213057.0,10.0,21306.0,367057.0,19.0,19319.0,,,
4,Footscray,158500,10,15850,137000.0,9.0,15222.0,295500.0,19.0,15553.0,71514.0,1.0,71514.0
5,Geelong,155800,9,17311,146586.0,10.0,14659.0,302386.0,19.0,15915.0,,,
6,Hawthorn,111000,10,11100,100657.0,9.0,11184.0,211657.0,19.0,11140.0,,,
7,Melbourne,241213,10,24121,153000.0,9.0,17000.0,394213.0,19.0,20748.0,274319.0,4.0,68580.0
8,North Melbourne,105000,9,11667,130331.0,10.0,13033.0,235331.0,19.0,12386.0,,,
9,Richmond,219000,9,24333,231692.0,10.0,23169.0,450692.0,19.0,23721.0,,,
10,South Melbourne,180500,10,18050,168696.0,9.0,18744.0,349196.0,19.0,18379.0,,,
11,St Kilda,81000,9,9000,96856.0,10.0,9686.0,177856.0,19.0,9361.0,,,
12,Totals,Home & Away:2056513 (18040),Finals:345833 (69167) ,Overall:2402346 (20188),,,,,,,,,
