,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,123664,6,20611
1,Round 2,150500,6,25083
2,Round 3,130057,6,21676
3,Round 4,95000,6,15833
4,Round 5,102831,6,17139
5,Round 6,110000,6,18333
6,Round 7,104864,6,17477
7,Round 8,116500,6,19417
8,Round 9,127000,6,21167
9,Round 10,120457,6,20076
10,Round 11,87086,6,14514
11,Round 12,92000,6,15333
12,Round 13,103056,6,17176
13,Round 14,101000,6,16833
14,Round 15,112192,6,18699
15,Round 16,88000,6,14667
16,Round 17,96196,6,16033
17,Round 18,91000,6,15167
18,Round 19,105110,6,17518
19,Finals,345833,5,69167
