, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,172278,10,17228,,,
1,Junction Oval,123850,10,12385,,,
2,Kardinia Park,197189,9,21910,,,
3,Lake Oval,132465,9,14718,,,
4,M.C.G.,517981,18,28777,245333.0,3.0,81778.0
5,Moorabbin Oval,213375,10,21338,,,
6,Princes Park,415101,19,21847,,,
7,Victoria Park,211429,9,23492,,,
8,Waverley Park,520862,20,26043,180025.0,3.0,60008.0
9,Western Oval,178889,9,19877,,,
10,Windy Hill,179693,9,19966,,,
