, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,224000,9,24889,197500.0,9.0,21944.0,421500.0,18.0,23417.0,87793.0,2.0,43897.0
1,Collingwood,123000,9,13667,193936.0,9.0,21548.0,316936.0,18.0,17608.0,51140.0,1.0,51140.0
2,Essendon,115000,9,12778,119828.0,9.0,13314.0,234828.0,18.0,13046.0,,,
3,Fitzroy,123000,9,13667,96500.0,9.0,10722.0,219500.0,18.0,12194.0,,,
4,Footscray,156000,9,17333,161244.0,9.0,17916.0,317244.0,18.0,17625.0,,,
5,Geelong,102500,9,11389,136767.0,9.0,15196.0,239267.0,18.0,13293.0,145718.0,3.0,48573.0
6,Hawthorn,80000,9,8889,98614.0,9.0,10957.0,178614.0,18.0,9923.0,,,
7,Melbourne,138417,9,15380,111250.0,9.0,12361.0,249667.0,18.0,13870.0,,,
8,North Melbourne,63000,9,7000,71444.0,9.0,7938.0,134444.0,18.0,7469.0,,,
9,Richmond,191000,9,21222,162750.0,9.0,18083.0,353750.0,18.0,19653.0,109065.0,2.0,54533.0
10,South Melbourne,125500,9,13944,116258.0,9.0,12918.0,241758.0,18.0,13431.0,,,
11,St Kilda,147000,9,16333,122326.0,9.0,13592.0,269326.0,18.0,14963.0,,,
12,Totals,Home & Away:1588417 (14708),Finals:196858 (49215) ,Overall:1785275 (15940),,,,,,,,,
