, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,63000,9,7000,,,
1,Brunswick St,123000,9,13667,,,
2,Corio Oval,102500,9,11389,,,
3,Glenferrie Oval,80000,9,8889,,,
4,Junction Oval,147000,9,16333,,,
5,Lake Oval,125500,9,13944,,,
6,M.C.G.,138417,9,15380,196858.0,4.0,49215.0
7,Princes Park,224000,9,24889,,,
8,Punt Rd,191000,9,21222,,,
9,Victoria Park,123000,9,13667,,,
10,Western Oval,156000,9,17333,,,
11,Windy Hill,115000,9,12778,,,
