,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,90000,4,22500
1,Round 2,100000,4,25000
2,Round 3,89211,4,22303
3,Round 4,79000,4,19750
4,Round 5,85072,4,21268
5,Round 6,92000,4,23000
6,Round 7,100533,4,25133
7,Round 8,68000,4,17000
8,Round 9,81769,4,20442
9,Round 10,92056,4,23014
10,Round 11,79000,4,19750
11,Round 12,73000,4,18250
12,Round 13,88931,4,22233
13,Round 14,96000,4,24000
14,Round 15,61382,4,15346
15,Round 16,61600,4,15400
16,Round 17,68487,4,17122
17,Round 18,69500,4,17375
18,Finals,170732,6,28455
