,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,7382,Melbourne v Geelong,M.C.G.,1924.0
2,8000,Collingwood v Melbourne,Victoria Park,1924.0
3,10000,St Kilda v Richmond,Junction Oval,1924.0
4,10000,Essendon v Melbourne,Windy Hill,1924.0
5,10000,Fitzroy v St Kilda,Brunswick St,1924.0
6,12000,Geelong v Melbourne,Corio Oval,1924.0
7,12000,Geelong v St Kilda,Corio Oval,1924.0
8,12000,Geelong v Carlton,Corio Oval,1924.0
9,12000,Geelong v Essendon,Corio Oval,1924.0
10,12487,Melbourne v Fitzroy,M.C.G.,1924.0
11,13000,St Kilda v Collingwood,Junction Oval,1924.0
12,13000,Fitzroy v Collingwood,Brunswick St,1924.0
13,13000,Geelong v Richmond,Corio Oval,1924.0
14,14000,Richmond v Melbourne,Punt Rd,1924.0
15,14000,Collingwood v Geelong,Victoria Park,1924.0
16,14286,Melbourne v St Kilda,M.C.G.,1924.0
17,15000,St Kilda v Melbourne,Junction Oval,1924.0
18,15000,Carlton v Geelong,Princes Park,1924.0
19,15000,Fitzroy v Melbourne,Brunswick St,1924.0
20,15000,Geelong v Fitzroy,Corio Oval,1924.0
