, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,202770,8,25346,190931.0,8.0,23866.0,393701.0,16.0,24606.0,,,
1,Collingwood,147000,8,18375,160811.0,8.0,20101.0,307811.0,16.0,19238.0,,,
2,Essendon,176000,8,22000,216769.0,8.0,27096.0,392769.0,16.0,24548.0,104929.0,3.0,34976.0
3,Fitzroy,169000,8,21125,183257.0,8.0,22907.0,352257.0,16.0,22016.0,88025.0,3.0,29342.0
4,Geelong,108100,8,13513,130382.0,8.0,16298.0,238482.0,16.0,14905.0,,,
5,Melbourne,138671,8,17334,113000.0,8.0,14125.0,251671.0,16.0,15729.0,,,
6,Richmond,183000,8,22875,170533.0,8.0,21317.0,353533.0,16.0,22096.0,73300.0,3.0,24433.0
7,South Melbourne,196000,8,24500,175572.0,8.0,21947.0,371572.0,16.0,23223.0,75210.0,3.0,25070.0
8,St Kilda,155000,8,19375,134286.0,8.0,16786.0,289286.0,16.0,18080.0,,,
9,Totals,Home & Away:1475541 (20494),Finals:170732 (28455) ,Overall:1646273 (21106),,,,,,,,,
