,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,56000,5,11200
1,Round 2,45000,5,9000
2,Round 3,50500,5,10100
3,Round 4,59000,5,11800
4,Round 5,66000,5,13200
5,Round 6,58000,5,11600
6,Round 7,56000,5,11200
7,Round 8,46500,5,9300
8,Round 9,61000,5,12200
9,Round 10,42000,5,8400
10,Round 11,48000,5,9600
11,Round 12,48500,5,9700
12,Round 13,57250,5,11450
13,Round 14,52000,5,10400
14,Round 15,44500,5,8900
15,Round 16,47500,5,9500
16,Finals,133409,4,33352
