, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,96000,7,13714,93500.0,8.0,11688.0,189500.0,15.0,12633.0,39874.0,1.0,39874.0
1,Collingwood,58250,8,7281,75000.0,7.0,10714.0,133250.0,15.0,8883.0,,,
2,Essendon,111000,8,13875,85000.0,7.0,12143.0,196000.0,15.0,13067.0,66200.0,2.0,33100.0
3,Fitzroy,111500,8,13938,75500.0,7.0,10786.0,187000.0,15.0,12467.0,67209.0,2.0,33605.0
4,Footscray,56500,7,8071,91000.0,8.0,11375.0,147500.0,15.0,9833.0,,,
5,Hawthorn,75000,7,10714,87500.0,8.0,10938.0,162500.0,15.0,10833.0,,,
6,Melbourne,70000,8,8750,49000.0,7.0,7000.0,119000.0,15.0,7933.0,,,
7,North Melbourne,42500,7,6071,66250.0,8.0,8281.0,108750.0,15.0,7250.0,,,
8,Richmond,111000,7,15857,99000.0,8.0,12375.0,210000.0,15.0,14000.0,93535.0,3.0,31178.0
9,South Melbourne,68000,8,8500,83000.0,7.0,11857.0,151000.0,15.0,10067.0,,,
10,St Kilda,38000,5,7600,33000.0,5.0,6600.0,71000.0,10.0,7100.0,,,
11,Totals,Home & Away:837750 (10472),Finals:133409 (33352) ,Overall:971159 (11561),,,,,,,,,
