,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,120000,6,20000
1,Round 2,117409,6,19568
2,Round 3,108000,6,18000
3,Round 4,107662,6,17944
4,Round 5,101475,6,16913
5,Round 6,114000,6,19000
6,Round 7,94279,6,15713
7,Round 8,92000,6,15333
8,Round 9,106344,6,17724
9,Round 10,101000,6,16833
10,Round 11,70723,6,11787
11,Round 12,83000,6,13833
12,Round 13,88232,6,14705
13,Round 14,70000,6,11667
14,Round 15,90981,6,15164
15,Round 16,87000,6,14500
16,Round 17,88853,6,14809
17,Round 18,61000,6,10167
18,Finals,174720,4,43680
