, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,87000,9,9667,,,
1,Brunswick St,134500,9,14944,,,
2,Corio Oval,88500,9,9833,,,
3,Glenferrie Oval,110000,9,12222,,,
4,Junction Oval,177500,9,19722,,,
5,Lake Oval,142000,9,15778,,,
6,M.C.G.,183458,9,20384,174720.0,4.0,43680.0
7,Princes Park,225000,9,25000,,,
8,Punt Rd,145000,9,16111,,,
9,Victoria Park,146000,9,16222,,,
10,Western Oval,121000,9,13444,,,
11,Windy Hill,142000,9,15778,,,
