,0,1,2,3
0,Highest Home & Away Crowds,,,
1,40000,Carlton v Collingwood,Princes Park,1930.0
2,35000,Carlton v Richmond,Princes Park,1930.0
3,33000,St Kilda v Carlton,Junction Oval,1930.0
4,32000,Richmond v Collingwood,Punt Rd,1930.0
5,31481,Melbourne v Carlton,M.C.G.,1930.0
6,30000,Collingwood v Carlton,Victoria Park,1930.0
7,30000,Carlton v Fitzroy,Princes Park,1930.0
8,30000,Carlton v Melbourne,Princes Park,1930.0
9,29000,St Kilda v Melbourne,Junction Oval,1930.0
10,28779,Melbourne v Collingwood,M.C.G.,1930.0
11,28344,Melbourne v Essendon,M.C.G.,1930.0
12,28000,South Melbourne v Geelong,Lake Oval,1930.0
13,28000,Hawthorn v Carlton,Glenferrie Oval,1930.0
14,26000,Essendon v Carlton,Windy Hill,1930.0
15,26000,St Kilda v Fitzroy,Junction Oval,1930.0
16,25353,Melbourne v Richmond,M.C.G.,1930.0
17,23000,Carlton v Geelong,Princes Park,1930.0
18,22000,South Melbourne v Richmond,Lake Oval,1930.0
19,21500,St Kilda v South Melbourne,Junction Oval,1930.0
20,21000,Fitzroy v Collingwood,Brunswick St,1930.0
