, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,369740,11,33613,323125.0,11.0,29375.0,692865.0,22.0,31494.0,,,
1,Brisbane Lions,231909,11,21083,272084.0,11.0,24735.0,503993.0,22.0,22909.0,,,
2,Carlton,485968,11,44179,495096.0,11.0,45009.0,981064.0,22.0,44594.0,132670.0,2.0,66335.0
3,Collingwood,610357,11,55487,574264.0,11.0,52206.0,1184621.0,22.0,53846.0,51722.0,1.0,51722.0
4,Essendon,540673,11,49152,495371.0,11.0,45034.0,1036044.0,22.0,47093.0,,,
5,Fremantle,376926,11,34266,266019.0,11.0,24184.0,642945.0,22.0,29225.0,175714.0,3.0,58571.0
6,Geelong,403149,11,36650,405769.0,11.0,36888.0,808918.0,22.0,36769.0,170771.0,3.0,56924.0
7,Gold Coast,152980,11,13907,236991.0,11.0,21545.0,389971.0,22.0,17726.0,,,
8,Greater Western Sydney,106715,11,9701,239015.0,11.0,21729.0,345730.0,22.0,15715.0,,,
9,Hawthorn,422614,11,38419,476417.0,11.0,43311.0,899031.0,22.0,40865.0,245191.0,3.0,81730.0
10,Melbourne,239976,11,21816,308455.0,11.0,28041.0,548431.0,22.0,24929.0,,,
11,North Melbourne,301465,11,27406,332573.0,11.0,30234.0,634038.0,22.0,28820.0,,,
12,Port Adelaide,296068,11,26915,248320.0,11.0,22575.0,544388.0,22.0,24745.0,104466.0,2.0,52233.0
13,Richmond,559909,11,50901,480381.0,11.0,43671.0,1040290.0,22.0,47286.0,94690.0,1.0,94690.0
14,St Kilda,318617,11,28965,315874.0,11.0,28716.0,634491.0,22.0,28841.0,,,
15,Sydney,311266,11,28297,346448.0,11.0,31495.0,657714.0,22.0,29896.0,140844.0,3.0,46948.0
16,West Coast,396559,11,36051,281870.0,11.0,25625.0,678429.0,22.0,30838.0,,,
17,Western Bulldogs,243455,11,22132,270274.0,11.0,24570.0,513729.0,22.0,23351.0,,,
18,Totals,Home & Away:6368346 (32163),Finals:558034 (62004) ,Overall:6926380 (33461),,,,,,,,,
