, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Bellerive Oval,23488,2,11744,,,
1,Carrara,152980,11,13907,,,
2,Cazaly's Stadium,11197,1,11197,,,
3,Docklands,1466099,48,30544,,,
4,Football Park,665808,22,30264,,,
5,Gabba,231909,11,21083,,,
6,Kardinia Park,187545,7,26792,32458.0,1.0,32458.0
7,M.C.G.,2346893,45,52153,444347.0,6.0,74058.0
8,Manuka Oval,25056,3,8352,,,
9,Marrara Oval,15465,2,7733,,,
10,S.C.G.,230659,9,25629,,,
11,Stadium Australia,104297,3,34766,37980.0,1.0,37980.0
12,Subiaco,773485,22,35158,43249.0,1.0,43249.0
13,Sydney Showground,57969,7,8281,,,
14,Wellington,22546,1,22546,,,
15,York Park,52950,4,13238,,,
