,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,365867,9,40652
1,Round 2,350736,9,38971
2,Round 3,292057,9,32451
3,Round 4,290078,9,32231
4,Round 5,317233,9,35248
5,Round 6,278744,9,30972
6,Round 7,264817,9,29424
7,Round 8,289097,9,32122
8,Round 9,311287,9,34587
9,Round 10,239032,9,26559
10,Round 11,214343,6,35724
11,Round 12,192975,6,32163
12,Round 13,163003,6,27167
13,Round 14,238090,9,26454
14,Round 15,371212,9,41246
15,Round 16,256083,9,28454
16,Round 17,208356,9,23151
17,Round 18,243604,9,27067
18,Round 19,324505,9,36056
19,Round 20,279889,9,31099
20,Round 21,291069,9,32341
21,Round 22,276610,9,30734
22,Round 23,309659,9,34407
23,Finals,558034,9,62004
