,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,195724,6,32621
1,Round 2,129829,6,21638
2,Round 3,148704,6,24784
3,Round 4,135887,6,22648
4,Round 5,157442,6,26240
5,Round 6,150739,6,25123
6,Round 7,132659,6,22110
7,Round 8,128729,6,21455
8,Round 9,125744,6,20957
9,Round 10,132345,6,22058
10,Round 11,151885,6,25314
11,Round 12,137870,6,22978
12,Round 13,111430,6,18572
13,Round 14,132877,6,22146
14,Round 15,110509,6,18418
15,Round 16,121914,6,20319
16,Round 17,126360,6,21060
17,Round 18,122764,6,20461
18,Round 19,97092,6,16182
19,Round 20,126879,6,21147
20,Round 21,124378,6,20730
21,Round 22,133159,6,22193
22,Finals,591929,7,84561
