, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,98596,9,10955,,,
1,Glenferrie Oval,168204,9,18689,,,
2,Junction Oval,151323,9,16814,,,
3,Kardinia Park,178697,10,17870,,,
4,Lake Oval,131114,9,14568,,,
5,M.C.G.,611126,19,32165,485092.0,5.0,97018.0
6,Moorabbin Oval,230894,9,25655,,,
7,Princes Park,251436,10,25144,,,
8,Victoria Park,276081,10,27608,,,
9,Waverley Park,458019,20,22901,106837.0,2.0,53419.0
10,Western Oval,168938,9,18771,,,
11,Windy Hill,210491,9,23388,,,
