, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Brunswick St,119611,9,13290,,,
1,Coburg Oval,118318,9,13146,,,
2,Glenferrie Oval,142700,9,15856,,,
3,Kardinia Park,196932,9,21881,,,
4,Lake Oval,188149,9,20905,,,
5,M.C.G.,674232,18,37457,388460.0,4.0,97115.0
6,Moorabbin Oval,251752,9,27972,,,
7,Princes Park,233394,9,25933,,,
8,Victoria Park,263413,9,29268,,,
9,Western Oval,152697,9,16966,,,
10,Windy Hill,207500,9,23056,,,
