,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,178159,6,29693
1,Round 2,149545,6,24924
2,Round 3,150008,6,25001
3,Round 4,99621,6,16604
4,Round 5,165880,6,27647
5,Round 6,147973,6,24662
6,Round 7,149608,6,24935
7,Round 8,145371,6,24229
8,Round 9,195759,6,32627
9,Round 10,150969,6,25162
10,Round 11,147741,6,24624
11,Round 12,112552,6,18759
12,Round 13,121925,6,20321
13,Round 14,127655,6,21276
14,Round 15,104326,6,17388
15,Round 16,146521,6,24420
16,Round 17,137697,6,22950
17,Round 18,117388,6,19565
18,Finals,388460,4,97115
