,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,364544,8,45568
1,Round 2,275850,8,34481
2,Round 3,344536,8,43067
3,Round 4,249456,8,31182
4,Round 5,289846,8,36231
5,Round 6,287213,8,35902
6,Round 7,294156,8,36770
7,Round 8,256408,8,32051
8,Round 9,250356,8,31295
9,Round 10,267296,8,33412
10,Round 11,342376,8,42797
11,Round 12,272324,8,34041
12,Round 13,299520,8,37440
13,Round 14,299201,8,37400
14,Round 15,317207,8,39651
15,Round 16,298015,8,37252
16,Round 17,245872,8,30734
17,Round 18,292841,8,36605
18,Round 19,284129,8,35516
19,Round 20,296987,8,37123
20,Round 21,357948,8,44744
21,Round 22,289440,8,36180
22,Finals,574424,9,63825
