,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,11133,Kangaroos v Brisbane Lions,Carrara,2007.0
2,11178,Kangaroos v Adelaide,Carrara,2007.0
3,11266,Melbourne v Sydney,Manuka Oval,2007.0
4,11449,Western Bulldogs v Fremantle,Marrara Oval,2007.0
5,11647,Kangaroos v Carlton,Carrara,2007.0
6,14517,Western Bulldogs v Sydney,Manuka Oval,2007.0
7,15264,Hawthorn v Port Adelaide,York Park,2007.0
8,16266,Melbourne v Port Adelaide,M.C.G.,2007.0
9,16654,Melbourne v Fremantle,M.C.G.,2007.0
10,17120,Hawthorn v Geelong,York Park,2007.0
11,18112,Hawthorn v West Coast,York Park,2007.0
12,18946,Melbourne v Western Bulldogs,Docklands,2007.0
13,19114,Hawthorn v Kangaroos,York Park,2007.0
14,20187,Kangaroos v Melbourne,Docklands,2007.0
15,20435,Geelong v Fremantle,Kardinia Park,2007.0
16,21212,Geelong v Brisbane Lions,Kardinia Park,2007.0
17,21267,Geelong v Adelaide,Kardinia Park,2007.0
18,21468,Geelong v Kangaroos,Kardinia Park,2007.0
19,21951,Geelong v Richmond,Kardinia Park,2007.0
20,22014,Geelong v West Coast,Kardinia Park,2007.0
