, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,33958,3,11319,,,
1,Docklands,1674219,46,36396,36534.0,1.0,36534.0
2,Football Park,768482,22,34931,81703.0,2.0,40852.0
3,Gabba,340033,12,28336,,,
4,Kardinia Park,175718,8,21965,,,
5,M.C.G.,2123400,45,47187,412560.0,5.0,82512.0
6,Manuka Oval,25783,2,12892,,,
7,Marrara Oval,11449,1,11449,,,
8,S.C.G.,201776,8,25222,,,
9,Stadium Australia,190177,3,63392,,,
10,Subiaco,860916,22,39133,43627.0,1.0,43627.0
11,York Park,69610,4,17403,,,
