,0,1,2,3
0,Highest Home & Away Crowds,,,
1,90564,Richmond v Essendon,M.C.G.,1982.0
2,71203,Richmond v Carlton,M.C.G.,1982.0
3,64319,Essendon v Richmond,Waverley Park,1982.0
4,60208,Carlton v Essendon,Waverley Park,1982.0
5,59472,Richmond v Collingwood,Waverley Park,1982.0
6,53549,Collingwood v Geelong,Waverley Park,1982.0
7,52169,Melbourne v Collingwood,M.C.G.,1982.0
8,48338,Richmond v Hawthorn,M.C.G.,1982.0
9,47656,North Melbourne v Essendon,M.C.G.,1982.0
10,46130,Fitzroy v Carlton,Waverley Park,1982.0
11,43474,Richmond v Fitzroy,M.C.G.,1982.0
12,38864,Richmond v North Melbourne,M.C.G.,1982.0
13,38686,Fitzroy v Richmond,Waverley Park,1982.0
14,38086,Geelong v Hawthorn,Waverley Park,1982.0
15,36736,Essendon v St Kilda,Waverley Park,1982.0
16,36161,Melbourne v Richmond,M.C.G.,1982.0
17,35372,Carlton v Richmond,Princes Park,1982.0
18,34921,North Melbourne v Hawthorn,Waverley Park,1982.0
19,34055,Collingwood v Carlton,Victoria Park,1982.0
20,33792,Essendon v Carlton,Windy Hill,1982.0
