,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,181021,6,30170
1,Round 2,181324,6,30221
2,Round 3,211199,6,35200
3,Round 4,166913,6,27819
4,Round 5,128129,6,21355
5,Round 6,154580,6,25763
6,Round 7,140991,6,23499
7,Round 8,136470,6,22745
8,Round 9,131092,6,21849
9,Round 10,171639,6,28607
10,Round 11,134582,6,22430
11,Round 12,175993,6,29332
12,Round 13,152671,6,25445
13,Round 14,140892,6,23482
14,Round 15,151359,6,25227
15,Round 16,145277,6,24213
16,Round 17,112008,6,18668
17,Round 18,113729,6,18955
18,Round 19,110939,6,18490
19,Round 20,147665,6,24611
20,Round 21,127033,6,21172
21,Round 22,148778,6,24796
22,Finals,417272,6,69545
