, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,330516,11,30047,348513.0,11.0,31683.0,679029.0,22.0,30865.0,305006.0,4.0,76252.0
1,Collingwood,303911,11,27628,332514.0,11.0,30229.0,636425.0,22.0,28928.0,,,
2,Essendon,320938,11,29176,377450.0,11.0,34314.0,698388.0,22.0,31745.0,50537.0,1.0,50537.0
3,Fitzroy,238433,11,21676,233380.0,11.0,21216.0,471813.0,22.0,21446.0,,,
4,Footscray,186091,11,16917,200740.0,11.0,18249.0,386831.0,22.0,17583.0,,,
5,Geelong,256389,11,23308,235352.0,11.0,21396.0,491741.0,22.0,22352.0,,,
6,Hawthorn,214759,11,19524,282216.0,11.0,25656.0,496975.0,22.0,22590.0,193588.0,3.0,64529.0
7,Melbourne,310306,11,28210,223638.0,11.0,20331.0,533944.0,22.0,24270.0,,,
8,North Melbourne,226921,11,20629,259945.0,11.0,23631.0,486866.0,22.0,22130.0,112266.0,2.0,56133.0
9,Richmond,481958,11,43814,336478.0,11.0,30589.0,818436.0,22.0,37202.0,173147.0,2.0,86574.0
10,St Kilda,218144,11,19831,221469.0,11.0,20134.0,439613.0,22.0,19982.0,,,
11,Sydney,175918,11,15993,212589.0,11.0,19326.0,388507.0,22.0,17659.0,,,
12,Totals,Home & Away:3264284 (24729),Finals:417272 (69545) ,Overall:3681556 (26678),,,,,,,,,
