, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,133211,8,16651,,,
1,Junction Oval,101656,7,14522,,,
2,Kardinia Park,193066,9,21452,,,
3,M.C.G.,699882,19,36836,239817.0,3.0,79939.0
4,Moorabbin Oval,159006,9,17667,,,
5,Princes Park,409713,18,22762,,,
6,S.C.G.,175918,11,15993,,,
7,Victoria Park,217550,9,24172,,,
8,Waverley Park,801163,24,33382,177455.0,3.0,59152.0
9,Western Oval,153236,9,17026,,,
10,Windy Hill,219883,9,24431,,,
