,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,123179,6,20530
1,Round 2,140500,6,23417
2,Round 3,142029,6,23672
3,Round 4,126000,6,21000
4,Round 5,132216,6,22036
5,Round 6,98000,6,16333
6,Round 7,172363,6,28727
7,Round 8,96561,6,16094
8,Round 9,95598,6,15933
9,Round 10,84174,6,14029
10,Round 11,101800,6,16967
11,Round 12,119702,6,19950
12,Round 13,105442,6,17574
13,Round 14,120806,6,20134
14,Round 15,104760,6,17460
15,Round 16,120835,6,20139
16,Round 17,116662,6,19444
17,Round 18,117304,6,19551
18,Round 19,131583,6,21931
19,Finals,272439,4,68110
