, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Albury,15000,1,15000,,,
1,Arden St,128000,9,14222,,,
2,Brisbane Exhibition,28000,1,28000,,,
3,Brunswick St,166800,9,18533,,,
4,Euroa,7500,1,7500,,,
5,Glenferrie Oval,99500,9,11056,,,
6,Junction Oval,125300,9,13922,,,
7,Kardinia Park,251641,9,27960,,,
8,Lake Oval,203500,9,22611,,,
9,M.C.G.,220003,9,24445,272439.0,4.0,68110.0
10,North Hobart,18387,1,18387,,,
11,Princes Park,242173,9,26908,,,
12,Punt Rd,168000,9,18667,,,
13,S.C.G.,24174,1,24174,,,
14,Victoria Park,199407,9,22156,,,
15,Western Oval,171629,9,19070,,,
16,Windy Hill,177000,9,19667,,,
17,Yallourn,3500,1,3500,,,
