, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,164682,9,18298,,,
1,Glenferrie Oval,147285,10,14729,,,
2,Junction Oval,133126,10,13313,,,
3,Kardinia Park,149453,9,16606,,,
4,Lake Oval,113918,9,12658,,,
5,M.C.G.,599443,19,31550,388477.0,4.0,97119.0
6,Moorabbin Oval,227480,10,22748,,,
7,Princes Park,252148,9,28016,,,
8,Victoria Park,232906,9,25878,,,
9,Waverley Park,467606,20,23380,113477.0,2.0,56739.0
10,Western Oval,154438,9,17160,,,
11,Windy Hill,194209,9,21579,,,
