,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,76000,4,19000
1,Round 2,80902,4,20226
2,Round 3,67000,4,16750
3,Round 4,73000,4,18250
4,Round 5,111189,4,27797
5,Round 6,72000,4,18000
6,Round 7,82000,4,20500
7,Round 8,79496,4,19874
8,Round 9,75000,4,18750
9,Round 10,81850,4,20463
10,Round 11,83000,4,20750
11,Round 12,83929,4,20982
12,Round 13,75220,4,18805
13,Round 14,68000,4,17000
14,Round 15,42206,4,10552
15,Round 16,70000,4,17500
16,Round 17,60000,4,15000
17,Round 18,44000,4,11000
18,Finals,207278,4,51820
