, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,25519,3,8506,,,
1,Docklands,1740573,46,37839,,,
2,Football Park,709713,22,32260,37685.0,1.0,37685.0
3,Gabba,309405,11,28128,,,
4,Kardinia Park,185106,8,23138,,,
5,M.C.G.,2264466,46,49228,514948.0,7.0,73564.0
6,Manuka Oval,24987,2,12494,,,
7,Marrara Oval,11373,1,11373,,,
8,S.C.G.,177809,7,25401,,,
9,Stadium Australia,183360,4,45840,19127.0,1.0,19127.0
10,Subiaco,808831,22,36765,,,
11,York Park,70113,4,17528,,,
