, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,447455,11,40678,355580.0,11.0,32325.0,803035.0,22.0,36502.0,37685.0,1.0,37685.0
1,Brisbane Lions,309405,11,28128,314827.0,11.0,28621.0,624232.0,22.0,28374.0,,,
2,Carlton,534483,11,48589,536017.0,11.0,48729.0,1070500.0,22.0,48659.0,,,
3,Collingwood,651345,11,59213,596046.0,11.0,54186.0,1247391.0,22.0,56700.0,114392.0,2.0,57196.0
4,Essendon,510051,11,46368,534072.0,11.0,48552.0,1044123.0,22.0,47460.0,,,
5,Fremantle,394643,11,35877,305380.0,11.0,27762.0,700023.0,22.0,31819.0,,,
6,Geelong,324211,11,29474,512985.0,11.0,46635.0,837196.0,22.0,38054.0,241805.0,3.0,80602.0
7,Hawthorn,439732,11,39976,470947.0,11.0,42813.0,910679.0,22.0,41395.0,253717.0,3.0,84572.0
8,Melbourne,338551,11,30777,325160.0,11.0,29560.0,663711.0,22.0,30169.0,,,
9,North Melbourne,304338,11,27667,375757.0,11.0,34160.0,680095.0,22.0,30913.0,19127.0,1.0,19127.0
10,Port Adelaide,262258,11,23842,294647.0,11.0,26786.0,556905.0,22.0,25314.0,,,
11,Richmond,479027,11,43548,455975.0,11.0,41452.0,935002.0,22.0,42500.0,,,
12,St Kilda,407370,11,37034,384464.0,11.0,34951.0,791834.0,22.0,35992.0,225362.0,3.0,75121.0
13,Sydney,361169,11,32834,340737.0,11.0,30976.0,701906.0,22.0,31905.0,61858.0,2.0,30929.0
14,West Coast,414188,11,37653,343760.0,11.0,31251.0,757948.0,22.0,34452.0,,,
15,Western Bulldogs,333029,11,30275,364901.0,11.0,33173.0,697930.0,22.0,31724.0,189574.0,3.0,63191.0
16,Totals,Home & Away:6511255 (36996),Finals:571760 (63529) ,Overall:7083015 (38287),,,,,,,,,
