,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,335422,8,41928
1,Round 2,295957,8,36995
2,Round 3,350885,8,43861
3,Round 4,315414,8,39427
4,Round 5,313551,8,39194
5,Round 6,315844,8,39481
6,Round 7,300023,8,37503
7,Round 8,252580,8,31573
8,Round 9,331733,8,41467
9,Round 10,271534,8,33942
10,Round 11,308527,8,38566
11,Round 12,306666,8,38333
12,Round 13,269748,8,33719
13,Round 14,284302,8,35538
14,Round 15,303507,8,37938
15,Round 16,299532,8,37442
16,Round 17,320817,8,40102
17,Round 18,276170,8,34521
18,Round 19,262023,8,32753
19,Round 20,268049,8,33506
20,Round 21,256086,8,32011
21,Round 22,272885,8,34111
22,Finals,571760,9,63529
