, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,139000,9,15444,169431.0,9.0,18826.0,308431.0,18.0,17135.0,,,
1,Collingwood,146800,9,16311,187323.0,9.0,20814.0,334123.0,18.0,18562.0,185819.0,3.0,61940.0
2,Essendon,103000,9,11444,101449.0,9.0,11272.0,204449.0,18.0,11358.0,,,
3,Fitzroy,127000,9,14111,107500.0,9.0,11944.0,234500.0,18.0,13028.0,,,
4,Footscray,107500,9,11944,111053.0,9.0,12339.0,218553.0,18.0,12142.0,,,
5,Geelong,97500,9,10833,126876.0,9.0,14097.0,224376.0,18.0,12465.0,136270.0,2.0,68135.0
6,Hawthorn,86000,9,9556,87100.0,9.0,9678.0,173100.0,18.0,9617.0,,,
7,Melbourne,206206,9,22912,147500.0,9.0,16389.0,353706.0,18.0,19650.0,103346.0,2.0,51673.0
8,North Melbourne,84500,9,9389,101906.0,9.0,11323.0,186406.0,18.0,10356.0,,,
9,Richmond,166000,9,18444,117226.0,9.0,13025.0,283226.0,18.0,15735.0,41663.0,1.0,41663.0
10,South Melbourne,139000,9,15444,149138.0,9.0,16571.0,288138.0,18.0,16008.0,,,
11,St Kilda,146000,9,16222,142004.0,9.0,15778.0,288004.0,18.0,16000.0,,,
12,Totals,Home & Away:1548506 (14338),Finals:233549 (58387) ,Overall:1782055 (15911),,,,,,,,,
