,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,125726,6,20954
1,Round 2,100600,6,16767
2,Round 3,91831,6,15305
3,Round 4,93000,6,15500
4,Round 5,113123,6,18854
5,Round 6,97000,6,16167
6,Round 7,83406,6,13901
7,Round 8,106600,6,17767
8,Round 9,94376,6,15729
9,Round 10,90500,6,15083
10,Round 11,56938,6,9490
11,Round 12,84000,6,14000
12,Round 13,75449,6,12575
13,Round 14,70500,6,11750
14,Round 15,78904,6,13151
15,Round 16,71000,6,11833
16,Round 17,57553,6,9592
17,Round 18,58000,6,9667
18,Finals,233549,4,58387
