, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,84500,9,9389,,,
1,Brunswick St,127000,9,14111,,,
2,Corio Oval,97500,9,10833,,,
3,Glenferrie Oval,86000,9,9556,,,
4,Junction Oval,146000,9,16222,,,
5,Lake Oval,139000,9,15444,,,
6,M.C.G.,206206,9,22912,233549.0,4.0,58387.0
7,Princes Park,139000,9,15444,,,
8,Punt Rd,166000,9,18444,,,
9,Victoria Park,146800,9,16311,,,
10,Western Oval,107500,9,11944,,,
11,Windy Hill,103000,9,11444,,,
