,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,205863,7,29409
1,Round 2,234291,7,33470
2,Round 3,173489,7,24784
3,Round 4,209402,7,29915
4,Round 5,238933,7,34133
5,Round 6,106500,4,26625
6,Round 7,183636,7,26234
7,Round 8,177972,7,25425
8,Round 9,228981,7,32712
9,Round 10,227221,7,32460
10,Round 11,153027,7,21861
11,Round 12,229445,7,32778
12,Round 13,167885,7,23984
13,Round 14,175572,7,25082
14,Round 15,195778,7,27968
15,Round 16,179142,7,25592
16,Round 17,236038,7,33720
17,Round 18,212308,7,30330
18,Round 19,158792,7,22685
19,Round 20,188855,7,26979
20,Round 21,206644,7,29521
21,Round 22,213046,7,30435
22,Round 23,191810,7,27401
23,Round 24,228393,7,32628
24,Finals,514375,9,57153
