,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,5334,Fitzroy v West Coast,Western Oval,1994.0
2,5728,Sydney v Brisbane Bears,S.C.G.,1994.0
3,6513,Sydney v Fitzroy,S.C.G.,1994.0
4,7901,Brisbane Bears v Sydney,Gabba,1994.0
5,8236,Brisbane Bears v Fitzroy,Gabba,1994.0
6,8344,Sydney v Melbourne,S.C.G.,1994.0
7,8484,Fitzroy v Melbourne,Western Oval,1994.0
8,8829,Fitzroy v Brisbane Bears,Western Oval,1994.0
9,9295,Sydney v St Kilda,S.C.G.,1994.0
10,9457,Brisbane Bears v Adelaide,Gabba,1994.0
11,9622,Sydney v Carlton,S.C.G.,1994.0
12,9727,Sydney v Richmond,S.C.G.,1994.0
13,10514,Fitzroy v Sydney,Western Oval,1994.0
14,10572,Brisbane Bears v Footscray,Gabba,1994.0
15,10809,Fitzroy v St Kilda,Western Oval,1994.0
16,10953,Brisbane Bears v North Melbourne,Gabba,1994.0
17,11068,Sydney v Adelaide,S.C.G.,1994.0
18,11142,Sydney v Geelong,S.C.G.,1994.0
19,11182,Sydney v North Melbourne,S.C.G.,1994.0
20,11290,Brisbane Bears v St Kilda,Gabba,1994.0
