, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Brisbane Bears,97757,11,8887,127488.0,11.0,11590.0,225245.0,22.0,10238.0,,,
1,Carlton,275981,11,25089,362810.0,11.0,32983.0,638791.0,22.0,29036.0,,,
2,Collingwood,409733,11,37248,447692.0,11.0,40699.0,857425.0,22.0,38974.0,301565.0,4.0,75391.0
3,Essendon,322487,11,29317,301408.0,11.0,27401.0,623895.0,22.0,28359.0,246312.0,3.0,82104.0
4,Fitzroy,136436,11,12403,186289.0,11.0,16935.0,322725.0,22.0,14669.0,,,
5,Footscray,245294,11,22299,201441.0,11.0,18313.0,446735.0,22.0,20306.0,,,
6,Geelong,271822,11,24711,275769.0,11.0,25070.0,547591.0,22.0,24891.0,,,
7,Hawthorn,267592,11,24327,387966.0,11.0,35270.0,655558.0,22.0,29798.0,74954.0,1.0,74954.0
8,Melbourne,370206,11,33655,252757.0,11.0,22978.0,622963.0,22.0,28317.0,118412.0,2.0,59206.0
9,North Melbourne,244536,11,22231,185029.0,11.0,16821.0,429565.0,22.0,19526.0,,,
10,Richmond,227976,11,20725,217144.0,11.0,19740.0,445120.0,22.0,20233.0,,,
11,St Kilda,346719,11,31520,265192.0,11.0,24108.0,611911.0,22.0,27814.0,,,
12,Sydney,102024,11,9275,187329.0,11.0,17030.0,289353.0,22.0,13152.0,,,
13,West Coast,268932,11,24448,189181.0,11.0,17198.0,458113.0,22.0,20823.0,210337.0,4.0,52584.0
14,Totals,Home & Away:3587495 (23295),Finals:475790 (67970) ,Overall:4063285 (25238),,,,,,,,,
