, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,97757,11,8887,,,
1,Kardinia Park,176211,9,19579,,,
2,M.C.G.,1012588,34,29782,265453.0,3.0,88484.0
3,Moorabbin Oval,178189,8,22274,,,
4,Princes Park,397833,24,16576,,,
5,S.C.G.,102024,11,9275,,,
6,Subiaco,171500,7,24500,,,
7,Victoria Park,172371,7,24624,,,
8,W.A.C.A.,97432,4,24358,,,
9,Waverley Park,867280,23,37708,210337.0,4.0,52584.0
10,Western Oval,178960,9,19884,,,
11,Windy Hill,135350,7,19336,,,
