,0,1,2,3
0,Highest Home & Away Crowds,,,
1,76390,Collingwood v Carlton,Waverley Park,1990.0
2,67893,St Kilda v Collingwood,M.C.G.,1990.0
3,65293,Essendon v Collingwood,Waverley Park,1990.0
4,63218,Collingwood v Essendon,M.C.G.,1990.0
5,59894,Melbourne v Essendon,M.C.G.,1990.0
6,59782,Melbourne v Carlton,M.C.G.,1990.0
7,57247,Melbourne v Hawthorn,M.C.G.,1990.0
8,55311,Essendon v Hawthorn,M.C.G.,1990.0
9,53982,Hawthorn v Collingwood,Waverley Park,1990.0
10,53917,Geelong v Collingwood,Waverley Park,1990.0
11,53065,St Kilda v Carlton,Waverley Park,1990.0
12,52724,Footscray v Collingwood,M.C.G.,1990.0
13,49655,Collingwood v Melbourne,Waverley Park,1990.0
14,48099,Collingwood v Hawthorn,Waverley Park,1990.0
15,47572,St Kilda v Geelong,Waverley Park,1990.0
16,44906,Carlton v Collingwood,Waverley Park,1990.0
17,44627,North Melbourne v Hawthorn,M.C.G.,1990.0
18,43044,North Melbourne v Collingwood,Waverley Park,1990.0
19,42097,Essendon v Geelong,Waverley Park,1990.0
20,41694,Geelong v Hawthorn,Waverley Park,1990.0
