,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,171981,7,24569
1,Round 2,188396,7,26914
2,Round 3,199052,7,28436
3,Round 4,126795,7,18114
4,Round 5,206236,7,29462
5,Round 6,171088,7,24441
6,Round 7,161652,7,23093
7,Round 8,156299,7,22328
8,Round 9,149652,7,21379
9,Round 10,154732,7,22105
10,Round 11,193937,7,27705
11,Round 12,165204,7,23601
12,Round 13,162876,7,23268
13,Round 14,136613,7,19516
14,Round 15,182245,7,26035
15,Round 16,124375,7,17768
16,Round 17,161988,7,23141
17,Round 18,143675,7,20525
18,Round 19,172319,7,24617
19,Round 20,167115,7,23874
20,Round 21,115282,7,16469
21,Round 22,175983,7,25140
22,Finals,475790,7,67970
